# main x,main y,main z,head x,head y,head z,tail x,tail y,tail z
0.003,-0.016,1.215,-0.003,1.335,1.041,0.001,-1.544,0.523
0.004,-0.015,1.215,-0.002,1.336,1.040,0.001,-1.544,0.523
0.004,-0.015,1.214,-0.002,1.336,1.040,0.001,-1.544,0.523
0.004,-0.015,1.214,-0.001,1.336,1.040,0.001,-1.544,0.523
0.005,-0.015,1.214,-0.001,1.336,1.040,0.001,-1.543,0.523
0.005,-0.015,1.214,-0.000,1.336,1.039,0.001,-1.543,0.523
0.005,-0.014,1.214,0.000,1.337,1.039,0.001,-1.543,0.523
0.005,-0.014,1.214,0.001,1.337,1.039,0.001,-1.543,0.523
0.006,-0.014,1.214,0.001,1.337,1.038,0.002,-1.543,0.523
0.007,-0.013,1.213,0.002,1.338,1.038,0.003,-1.542,0.523
0.007,-0.013,1.213,0.002,1.338,1.038,0.003,-1.542,0.523
0.007,-0.013,1.213,0.003,1.338,1.037,0.002,-1.542,0.523
0.007,-0.013,1.213,0.003,1.338,1.037,0.002,-1.542,0.523
0.007,-0.013,1.213,0.004,1.338,1.037,0.002,-1.542,0.523
0.007,-0.012,1.213,0.005,1.338,1.037,0.002,-1.542,0.523
0.008,-0.012,1.212,0.005,1.339,1.036,0.002,-1.542,0.523
0.008,-0.012,1.212,0.006,1.339,1.036,0.002,-1.541,0.523
0.008,-0.012,1.212,0.007,1.339,1.036,0.002,-1.541,0.523
0.009,-0.011,1.212,0.007,1.339,1.035,0.002,-1.541,0.523
0.009,-0.011,1.212,0.008,1.340,1.035,0.002,-1.541,0.523
0.010,-0.011,1.211,0.009,1.340,1.034,0.003,-1.541,0.523
0.010,-0.011,1.211,0.009,1.340,1.034,0.003,-1.541,0.523
0.011,-0.010,1.211,0.010,1.340,1.034,0.003,-1.540,0.523
0.011,-0.010,1.211,0.011,1.341,1.033,0.003,-1.540,0.523
0.012,-0.010,1.210,0.012,1.341,1.033,0.003,-1.540,0.523
0.012,-0.010,1.210,0.012,1.341,1.032,0.003,-1.540,0.523
0.012,-0.009,1.210,0.013,1.341,1.032,0.003,-1.540,0.523
0.012,-0.009,1.210,0.014,1.341,1.032,0.003,-1.540,0.523
0.013,-0.009,1.209,0.015,1.342,1.031,0.003,-1.539,0.523
0.013,-0.009,1.209,0.015,1.342,1.031,0.003,-1.539,0.523
0.014,-0.008,1.209,0.016,1.342,1.030,0.003,-1.539,0.522
0.014,-0.008,1.209,0.017,1.342,1.030,0.003,-1.539,0.522
0.015,-0.008,1.208,0.018,1.343,1.029,0.003,-1.539,0.522
0.015,-0.008,1.208,0.019,1.343,1.029,0.003,-1.539,0.522
0.016,-0.007,1.208,0.020,1.343,1.028,0.003,-1.538,0.522
0.016,-0.007,1.208,0.021,1.343,1.028,0.003,-1.538,0.522
0.017,-0.007,1.207,0.021,1.344,1.027,0.004,-1.538,0.522
0.017,-0.006,1.207,0.022,1.344,1.027,0.004,-1.538,0.522
0.017,-0.006,1.206,0.023,1.344,1.026,0.004,-1.538,0.521
0.017,-0.006,1.206,0.024,1.344,1.026,0.003,-1.538,0.521
0.017,-0.006,1.206,0.025,1.345,1.025,0.003,-1.537,0.521
0.017,-0.005,1.205,0.026,1.345,1.025,0.003,-1.537,0.521
0.018,-0.005,1.205,0.027,1.345,1.024,0.003,-1.537,0.521
0.018,-0.005,1.205,0.028,1.345,1.023,0.003,-1.537,0.521
0.019,-0.004,1.204,0.029,1.346,1.023,0.003,-1.536,0.521
0.019,-0.004,1.204,0.029,1.346,1.022,0.003,-1.536,0.521
0.020,-0.003,1.204,0.031,1.346,1.021,0.003,-1.536,0.521
0.021,-0.003,1.203,0.031,1.347,1.021,0.003,-1.536,0.521
0.021,-0.003,1.203,0.032,1.347,1.020,0.004,-1.536,0.521
0.022,-0.002,1.202,0.033,1.347,1.019,0.004,-1.535,0.521
0.022,-0.002,1.202,0.035,1.348,1.018,0.004,-1.535,0.521
0.023,-0.002,1.202,0.035,1.348,1.018,0.004,-1.535,0.521
0.023,-0.001,1.201,0.037,1.349,1.017,0.004,-1.535,0.521
0.023,-0.001,1.201,0.038,1.349,1.016,0.004,-1.534,0.521
0.024,-0.000,1.200,0.039,1.349,1.015,0.004,-1.534,0.521
0.024,0.000,1.200,0.040,1.350,1.014,0.004,-1.534,0.521
0.025,0.001,1.199,0.041,1.350,1.013,0.004,-1.534,0.521
0.025,0.001,1.199,0.042,1.350,1.012,0.004,-1.533,0.521
0.026,0.001,1.198,0.043,1.351,1.012,0.004,-1.533,0.521
0.026,0.002,1.198,0.044,1.351,1.011,0.004,-1.533,0.520
0.027,0.002,1.197,0.045,1.351,1.010,0.004,-1.533,0.520
0.027,0.003,1.196,0.047,1.352,1.009,0.004,-1.532,0.520
0.028,0.003,1.196,0.048,1.352,1.008,0.004,-1.532,0.520
0.028,0.004,1.195,0.049,1.353,1.007,0.004,-1.532,0.520
0.029,0.004,1.194,0.050,1.353,1.005,0.004,-1.532,0.520
0.029,0.005,1.194,0.051,1.354,1.004,0.004,-1.531,0.520
0.030,0.005,1.193,0.052,1.354,1.003,0.004,-1.531,0.520
0.030,0.006,1.192,0.054,1.354,1.002,0.004,-1.531,0.519
0.030,0.006,1.192,0.055,1.355,1.001,0.004,-1.530,0.519
0.031,0.007,1.191,0.056,1.355,0.999,0.004,-1.530,0.519
0.031,0.008,1.190,0.057,1.356,0.998,0.004,-1.530,0.519
0.031,0.008,1.189,0.059,1.356,0.997,0.004,-1.530,0.519
0.032,0.009,1.188,0.060,1.357,0.995,0.004,-1.529,0.519
0.032,0.009,1.188,0.061,1.357,0.994,0.004,-1.529,0.519
0.033,0.010,1.187,0.063,1.358,0.992,0.004,-1.529,0.518
0.033,0.011,1.186,0.064,1.358,0.991,0.004,-1.528,0.518
0.034,0.011,1.185,0.065,1.359,0.989,0.004,-1.528,0.518
0.034,0.012,1.184,0.066,1.360,0.987,0.003,-1.528,0.518
0.034,0.013,1.183,0.068,1.360,0.986,0.003,-1.527,0.518
0.034,0.013,1.182,0.069,1.361,0.984,0.003,-1.527,0.518
0.035,0.014,1.181,0.070,1.361,0.982,0.003,-1.526,0.517
0.035,0.015,1.180,0.071,1.362,0.980,0.003,-1.526,0.517
0.036,0.016,1.179,0.072,1.362,0.979,0.003,-1.526,0.517
0.036,0.016,1.178,0.072,1.363,0.977,0.003,-1.525,0.517
0.036,0.017,1.177,0.073,1.364,0.975,0.003,-1.525,0.517
0.036,0.018,1.176,0.073,1.364,0.974,0.003,-1.525,0.517
0.036,0.018,1.175,0.074,1.365,0.972,0.003,-1.524,0.516
0.036,0.019,1.174,0.073,1.365,0.971,0.003,-1.524,0.516
0.036,0.019,1.173,0.073,1.366,0.969,0.003,-1.524,0.516
0.035,0.020,1.173,0.073,1.366,0.968,0.003,-1.523,0.516
0.035,0.021,1.172,0.072,1.367,0.966,0.003,-1.523,0.516
0.035,0.021,1.171,0.071,1.367,0.965,0.003,-1.523,0.516
0.034,0.022,1.170,0.071,1.368,0.964,0.003,-1.522,0.515
0.034,0.022,1.170,0.069,1.368,0.963,0.003,-1.522,0.515
0.033,0.023,1.169,0.068,1.369,0.962,0.003,-1.522,0.515
0.033,0.023,1.168,0.066,1.369,0.960,0.003,-1.522,0.515
0.032,0.024,1.168,0.065,1.370,0.959,0.003,-1.521,0.515
0.031,0.024,1.167,0.062,1.370,0.958,0.003,-1.521,0.515
0.030,0.025,1.166,0.060,1.371,0.957,0.003,-1.521,0.515
0.029,0.025,1.165,0.058,1.371,0.956,0.004,-1.521,0.515
0.028,0.026,1.165,0.056,1.372,0.954,0.004,-1.520,0.514
0.028,0.027,1.164,0.053,1.372,0.953,0.005,-1.520,0.514
0.026,0.028,1.163,0.050,1.373,0.952,0.005,-1.519,0.514
0.026,0.028,1.163,0.046,1.373,0.951,0.005,-1.519,0.514
0.025,0.028,1.162,0.042,1.374,0.950,0.005,-1.519,0.514
0.022,0.029,1.162,0.039,1.374,0.949,0.005,-1.519,0.514
0.020,0.029,1.161,0.036,1.375,0.948,0.004,-1.518,0.514
0.018,0.030,1.160,0.033,1.375,0.947,0.004,-1.518,0.514
0.016,0.030,1.159,0.030,1.376,0.945,0.003,-1.518,0.513
0.015,0.031,1.158,0.026,1.376,0.943,0.003,-1.518,0.513
0.013,0.032,1.157,0.023,1.377,0.941,0.003,-1.517,0.513
0.012,0.032,1.156,0.020,1.377,0.939,0.003,-1.517,0.513
0.011,0.033,1.155,0.016,1.378,0.937,0.004,-1.517,0.513
0.009,0.034,1.154,0.013,1.378,0.935,0.004,-1.517,0.512
0.008,0.034,1.152,0.010,1.379,0.933,0.004,-1.516,0.512
0.007,0.035,1.151,0.006,1.380,0.931,0.004,-1.516,0.512
0.006,0.036,1.150,0.003,1.380,0.929,0.004,-1.516,0.512
0.004,0.037,1.149,-0.000,1.381,0.927,0.004,-1.515,0.512
0.003,0.037,1.148,-0.003,1.381,0.925,0.004,-1.515,0.511
0.001,0.038,1.146,-0.006,1.382,0.923,0.004,-1.515,0.511
0.000,0.039,1.145,-0.008,1.383,0.921,0.004,-1.514,0.511
-0.001,0.040,1.144,-0.011,1.383,0.919,0.004,-1.514,0.511
-0.002,0.040,1.143,-0.013,1.384,0.917,0.004,-1.514,0.511
-0.003,0.041,1.142,-0.016,1.384,0.916,0.004,-1.513,0.510
-0.004,0.042,1.141,-0.018,1.385,0.914,0.004,-1.513,0.510
-0.006,0.042,1.140,-0.020,1.385,0.912,0.004,-1.513,0.510
-0.006,0.043,1.139,-0.021,1.386,0.910,0.004,-1.512,0.510
-0.007,0.043,1.138,-0.023,1.386,0.909,0.004,-1.512,0.510
-0.008,0.044,1.137,-0.025,1.387,0.907,0.004,-1.512,0.509
-0.009,0.045,1.136,-0.026,1.387,0.906,0.004,-1.512,0.509
-0.010,0.045,1.135,-0.027,1.387,0.904,0.004,-1.511,0.509
-0.011,0.046,1.134,-0.029,1.388,0.903,0.003,-1.511,0.509
-0.011,0.046,1.134,-0.030,1.388,0.901,0.003,-1.511,0.509
-0.012,0.047,1.133,-0.031,1.389,0.900,0.003,-1.511,0.509
-0.012,0.047,1.132,-0.032,1.389,0.899,0.003,-1.510,0.508
-0.013,0.047,1.131,-0.033,1.389,0.897,0.003,-1.510,0.508
-0.013,0.048,1.131,-0.034,1.390,0.896,0.003,-1.510,0.508
-0.014,0.048,1.130,-0.034,1.390,0.895,0.003,-1.510,0.508
-0.014,0.049,1.129,-0.035,1.390,0.894,0.003,-1.510,0.508
